C,H,N,O,S,VM,Ash,FC,Cel,Hem,Lig,Plantcapacity(kg/hr,MSP,Location_China,Location_UK,Location_US
49.056637,6.2805824,1.325718,42.33607,0.21204935,76.0881,6.9234905,16.312841,33.709312,25.504812,20.990898,37806.16,0.769645,1.0,0.0,0.0
50.040154,6.838076,2.5217538,41.422325,0.4386153,74.62369,10.7325325,15.266187,32.13669,28.43801,23.4981,37304.707,0.86082137,0.0,0.0,1.0
49.681522,6.100524,1.4662311,42.348,0.17123176,76.18468,8.615174,15.851039,36.49005,26.317526,21.217527,37868.54,0.75238895,0.0,0.0,1.0
49.754692,6.9021077,2.5214145,41.426098,0.42348388,74.60833,13.046909,15.166089,31.844603,29.201883,23.551922,37716.684,0.8680364,0.0,0.0,1.0
49.657333,6.7492757,2.471989,41.654613,0.40934992,74.6973,10.62533,15.620178,32.596783,28.351814,22.944675,37355.156,0.85205877,0.0,0.0,1.0
49.13123,6.3302007,1.9107387,42.054726,0.30136678,75.21172,8.747184,16.521801,33.05981,26.322252,21.736603,37185.707,0.812128,0.0,1.0,0.0
49.53761,6.479561,2.1855295,41.9139,0.34467757,74.40804,11.700741,15.736764,32.93464,28.20662,22.513456,37877.51,0.823457,0.0,0.0,1.0
49.11127,6.3326654,1.4014838,42.28102,0.22347541,75.94749,7.4324436,16.257294,33.559967,25.842422,21.237415,37771.766,0.776639,1.0,0.0,0.0
50.000927,6.419745,1.9970928,41.661064,0.3417109,75.71014,7.094369,15.519212,33.650272,26.873892,22.633858,37151.625,0.7832982,0.0,1.0,0.0
49.93741,6.841079,2.5247934,41.44947,0.43301165,74.380844,10.702884,15.371196,32.34987,28.389738,23.329752,37306.51,0.85791886,0.0,0.0,1.0
48.826206,5.96876,1.4300661,42.46426,0.19542192,75.65346,6.3672924,17.274836,33.83414,24.21839,20.618309,37084.035,0.7569419,0.0,1.0,0.0
49.45572,6.6937847,2.367315,41.727627,0.39622152,74.52284,11.134029,15.78888,32.41922,28.42822,22.49925,37495.26,0.84988046,0.0,0.0,1.0
49.52693,6.645881,1.9898877,41.65898,0.3453184,75.56127,9.427698,15.494221,32.369884,27.98033,22.802195,37425.43,0.8360763,0.0,0.0,1.0
