,count,mean,std,min,25%,50%,75%,max
C,346.0,52.84838711733074,4.930146462956467,40.33686447143555,49.18937110900879,53.686716079711914,56.80258560180664,60.22971725463867
H,346.0,6.999366160762103,1.1911505123877666,5.327483654022217,5.958890199661255,6.864362001419067,7.843900680541992,10.191690444946287
N,346.0,3.927328303714708,1.8559486572250785,0.1429667770862579,2.493760824203491,3.9726905822753906,5.351094365119934,7.947034358978271
O,346.0,47.33425598475285,4.564187036281338,30.057205200195312,44.82187366485596,48.88516807556152,50.86137580871582,52.77276611328125
S,346.0,0.4116740552883466,0.2782482065659855,0.0020573642104864,0.17826229333877558,0.3597865253686905,0.604491114616394,1.240538477897644
VM,346.0,85.67975276880871,6.019058610283173,62.78081893920898,81.73709106445312,87.0005111694336,90.51737022399904,93.88899993896484
Ash,346.0,9.712155807138867,6.796799626711145,0.4029351770877838,4.440718173980713,8.026061296463013,13.913856029510496,29.28229522705078
FC,346.0,22.82689365486189,2.956975302259149,10.976938247680664,21.370124816894528,23.555234909057617,25.12680959701538,26.503969192504883
Cel,346.0,31.994407921168158,8.89310331882077,7.482236385345459,26.558099269866947,32.12418174743652,39.51111125946045,48.53068542480469
Hem,346.0,40.273826538482844,12.211045578507,12.867815017700195,30.52704906463623,43.3616828918457,50.989038467407234,55.277286529541016
Lig,346.0,26.33376603216105,14.22249891557492,1.7372567653656006,15.153898715972899,24.4215030670166,38.21873950958253,53.02845001220703
Plantcapacity(kg/hr,346.0,41222.490573067196,5739.169855171122,25495.5703125,37100.1376953125,41958.51953125,46114.6689453125,49672.0078125
MSP,346.0,0.9208572960830148,0.24314462084182495,0.4009307324886322,0.750823363661766,0.9268010854721069,1.103194385766983,1.533159852027893
Location_China,346.0,0.22254335260115607,0.4165564904179352,0.0,0.0,0.0,0.0,1.0
Location_UK,346.0,0.5028901734104047,0.5007157480716249,0.0,0.0,1.0,1.0,1.0
Location_US,346.0,0.2745664739884393,0.44694189542628593,0.0,0.0,0.0,1.0,1.0
